840 484  688 219434323175 7353 40114394433333333333333343444333234332334933222111221111212121212212223333222232122 50374282998998  32.676613 7188.8547951.235294  26.452496014     7.976142     7.842582     7.609453    10.783192221327.083335.0 1 64PUB05OCT2012
840 486  725 391424212180 6143 90212211121432321432332444433444444322223422222111111111211121112212222222222332222 50434282998998  21.813147 3664.6087261.235294  17.658262114     9.941222    10.033712    10.642012    11.586972321122.000005.0 1 45PUB05OCT2012
840 487  594 20941133318299993999222124419999992311111444444344443322224533444233332111211121112112223333333333122 50129282998998  40.926648 4911.1977601.235294  33.131096015    10.357512     9.528832     9.141663     7.557913399999.000005.0 1 24PUB05OCT2012
840 490  715 239421213183 6363100122211121333321233322444434333233322213543333233332322312211221222223233333222222 50329282998998  29.109800 3958.9327681.235294  23.565076115    10.211012    10.033712    10.642012     7.706173311207.800005.0 1 35PUB05OCT2012
840 491  769 257431222177 7 03100121111211112111122111444423233423322223432223121121112112121212122223322333333223 50106282998998  33.470377 8367.5942211.235294  27.095067116    12.261441    12.675271    10.642012    10.427932221239.000005.0 1 24PUB05OCT2012
840 492  447 221411333180 6303210211111112444412334423433442142231121224423332121121112211121111442222332333322133 50353282998998  38.452014 6152.3222681.235294  31.127821016     9.941222     9.889872     9.881652    10.093192311170.000005.0 1 24PUB05OCT2012
840 49399998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888100005282998998  44.209535 9018.7450921.235294  35.788671117999998.000008999998.000008999998.000008999998.000008999999.000009.098985PUB05OCT2012
840 494  524 180411313187 7403231223311121113112132113444422233243232434533223243242312211111111332223323333333232 50025282998998  48.918242 7484.4910981.235294  39.600482017    10.357512    10.913472     7.609453     7.855033311433.666675.0 1 25PUB05OCT2012
840 495  362 125411113180 6453 60121111191344412344412444444444442333323433222221221111112111211131222333332222222 50037282998998  55.484450 5492.9605091.235294  44.915983018     9.918182    10.014002     8.410613    10.093192311215.000005.0 7 15PUB05OCT2012
840 496 1304 125415113170 5253 40112211212111222121222443344434443423221211222231131112212121212332223333332123232 50149282998998  65.612563 8135.9578191.235294  53.114932118    10.864932    11.147581    12.046002     9.77822232 920.833335.0 1 55PUB05OCT2012
840 497  890  60415113180 5133700223133311114213134312444441444444422223313322232122211112121222112223333333333232 50215282998998  86.116490 4994.7564171.235294  69.713349119     9.453042    10.033712     9.881652     8.96538231 939.000005.0 1 65PUB05OCT2012
840 498  770  68414113180 4203 70121111122122112122132443344232332322223433223242243321211111111112292222333232222 50357282998998 107.366013 6656.6928171.235294  86.915344019    11.068402    11.739441     9.881652     7.85503331 780.000005.0 1 45PUB05OCT2012
840 500  640  47415113180 7 03 30112111111221111211111444444333944322223222112111121111111111111212223333333333333 50408282998998 153.095981 3368.1115881.235294 123.934842120    12.772281    12.140351    10.642012    12.083621311260.000005.0 1 75PUB05OCT2012
840 504  245  39412111180 5153 50122212134333314334413444413343444322223433423132211111111121112112222333332333222 50435282998998  83.207501 1996.9800281.069767  77.780925021     9.216942     9.485012     9.881652     9.21309231 945.000005.0 1 34PUB05OCT2012
840 50599998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888100006282998998  63.326063 5066.0850081.069767  59.196102121999998.000008999998.000008999998.000008999998.000008999999.000009.098985PUB05OCT2012
840 506  810 129414123188 6403100221111332221132221132443144441241313212321222212131111112121212222222212222322232 50195282998998  53.401829 5553.7902141.069767  49.919101022    10.513752    10.518992    12.046002    10.093192311253.333335.0 7 45PUB05OCT2012
840 507999999999413233999 7153 75121111144113114131111443344433334332444442114111121111111111112331123333332222332 50366282998998  48.350305 7445.9469311.069767  45.197024122    10.864932    10.705842     8.410613    11.164732399999.000005.0 1 55PUB05OCT2012
840 50899998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888100007282998998  43.633202 7024.9454551.069767  40.787558023999998.000008999998.000008999998.000008999998.000008999999.000009.098984PUB05OCT2012
840 509  511 174412113175 6353 50121111111122111222111443222443332222223433222232221111211121112321113333332332232 50109282998998  40.201377 4502.5542161.069767  37.579548123    12.261441    12.675271     9.881652     9.483902321152.083335.0 2 35PUB05OCT2012
840 510  430 150331332180 7253 10223333333222234444444444411444943122224554223322242312212111211222229999999999999 50041282998998  38.266552 5969.5820611.069767  35.770907024     7.248423     8.966052     8.410613     8.172923231335.000005.0 1 24PUB05OCT2012
840 511  102 102311212180 6 03200121111111113111112111443444444444411114411122111111111212121212442223333333333233 50014282998998  35.779226 2683.4419331.069767  33.445798124    13.535631    12.675271    12.687052    12.083621311080.000005.0 1 33PUB05OCT2012
